# z  x_e  x_H  x_He  Tmat
  9420.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.256722250000000022E+05
  9410.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.256449750000000022E+05
  9400.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.256177250000000022E+05
  9390.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.255904750000000022E+05
  9380.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.255632250000000022E+05
  9370.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.255359750000000022E+05
  9360.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.255087250000000022E+05
  9350.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.254814750000000022E+05
  9340.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.254542250000000022E+05
  9330.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.254269750000000022E+05
  9320.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.253997250000000022E+05
  9310.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.253724750000000022E+05
  9300.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.253452250000000022E+05
  9290.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.253179750000000022E+05
  9280.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.252907250000000022E+05
  9270.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.252634750000000022E+05
  9260.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.252362250000000022E+05
  9250.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.252089750000000022E+05
  9240.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.251817250000000022E+05
  9230.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.251544750000000022E+05
  9220.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.251272250000000022E+05
  9210.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.250999750000000022E+05
