# z    h0he0    h0he1    h0he2    h0he3    h0he4    h0he5    h0he6    h1he0    h1he1    h1he2    h1he3    h1he4    h1he5    h1he6
9.870000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.860000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.850000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.840000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.830000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.820000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.810000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.800000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.790000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.780000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
