# z    he0    he1    he2    he3    he4    he5    he6
9.710000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.700000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.690000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.680000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.670000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.660000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.650000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.640000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.630000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.620000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.610000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.600000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.590000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.580000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.570000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
9.560000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
